# Advertised menu key	canonical command(s)	documentation file
sa-menu	sa-menu	sa-menu.md
ns-menu	ns-menu	ns-menu.md
list-pods	get-pods	get-pods.md
dump-pod-info	dump-pod-info	dump-pod-info.md
find-volume-mounts	find-volume-mounts	find-volume-mounts.md
aws-enter-credentials	aws-enter-credentials	aws-enter-credentials.md
aws-assume-role	aws-assume-role	aws-assume-role.md
aws-empty-assumed-role	aws-empty-assumed-role	aws-empty-assumed-role.md
cert-menu	cert-menu	cert-menu.md
list-secrets	list-secrets	list-secrets.md
secret-to-sa	secret-to-sa	secret-to-sa.md
aws-get-token	aws-get-token	aws-get-token.md
gcp-get-token	gcp-get-token	gcp-get-token.md
gcp-attack-kube-env	gcp-attack-kube-env	gcp-attack-kube-env.md
gcp-attack-kops-gcs-1	gcp-attack-kops-1	gcp-attack-kops-1.md
attack-kops-aws-1	aws-attack-kops-1	aws-attack-kops-1.md
aws-s3-ls	aws-s3-ls	aws-s3-ls.md
aws-s3-ls-objects	aws-s3-ls-objects	aws-s3-ls-objects.md
attack-pod-hostpath-mount	attack-pod-hostpath-mount	attack-pod-hostpath-mount.md
exec-via-api	exec-via-api	exec-via-api.md
exec-via-kubelet	exec-via-kubelet	exec-via-kubelet.md
leakyvessels	leakyvessels	leakyvessels.md
nodefs-steal-secrets	nodefs-steal-secrets	nodefs-steal-secrets.md
kubectl	kubectl	kubectl.md
kubectl-try-all-until-success	kubectl-try-all-until-success	kubectl-try-all-until-success.md
kubectl-try-all	kubectl-try-all	kubectl-try-all.md
curl	curl	curl.md
set-auth-can-i	set-auth-can-i	set-auth-can-i.md
tcpscan	tcpscan	tcpscan.md
enumerate-dns	enumerate-dns	enumerate-dns.md
cd	cd,pwd,ls,cat	filesystem.md
shell	shell	shell.md
bash	bash,sh	system-shell.md
short	short	menu-visibility.md
full	full	menu-visibility.md
outputfile	outputfile	outputfile.md
exit	exit	exit.md
